time_key,open,close,high,low,volume
2024-03-11,37.0,38.85,39.35,37.0,16494021
2024-03-12,39.4,41.25,42.15,39.4,20433025
2024-03-13,40.3,40.5,41.25,39.95,11713542
2024-03-14,39.6,38.2,39.7,37.9,16006725
2024-03-15,36.95,37.8,37.85,36.5,21291797
2024-03-18,38.2,40.5,40.75,38.2,17198243
2024-03-19,38.95,39.8,40.1,38.1,17625530
2024-03-20,39.5,40.55,41.6,38.5,21469376
2024-03-21,37.9,37.9,38.6,37.3,39554220
2024-03-22,36.7,34.55,37.05,34.25,28075321
2024-03-25,34.0,33.8,34.3,33.2,17110612
2024-03-26,34.2,34.25,34.75,33.7,10154478
2024-03-27,34.0,32.1,34.0,31.9,14968491
2024-03-28,30.8,32.1,33.5,30.55,29993134
2024-04-02,30.45,30.3,31.4,29.0,30907548
2024-04-03,30.0,28.75,30.05,28.35,22139334
2024-04-05,29.05,28.95,29.45,28.2,9373901
2024-04-08,29.05,28.15,29.65,28.0,18505312
2024-04-09,28.7,29.85,30.0,28.35,20054480
2024-04-10,31.4,32.15,32.3,31.25,24575907
2024-04-11,31.6,32.3,32.75,31.4,16238637
2024-04-12,32.15,30.75,32.4,30.7,12682673
2024-04-15,29.55,29.3,30.0,29.0,13022426
2024-04-16,28.2,27.65,28.3,27.5,18542532
2024-04-17,28.05,28.25,28.5,27.85,8720746
2024-04-18,29.05,29.15,29.55,28.35,13042963
2024-04-19,27.85,27.0,27.95,26.95,16605443
2024-04-22,27.3,26.5,27.4,25.7,13946691
2024-04-23,27.4,27.45,27.6,26.7,9801181
2024-04-24,28.55,28.5,28.75,27.7,12234295
2024-04-25,27.8,27.85,28.4,27.15,11420661
2024-04-26,27.85,30.3,30.6,27.85,23486539
2024-04-29,31.3,30.75,32.45,30.65,22957853
2024-04-30,31.9,31.55,32.5,31.15,15552089
2024-05-02,31.65,34.15,34.5,31.05,10657892
2024-05-03,37.0,35.8,37.5,35.35,13902263
2024-05-06,35.1,34.65,35.5,33.9,25160352
2024-05-07,35.1,34.35,35.4,34.1,10702059
2024-05-08,33.1,32.25,33.65,32.05,20516963
2024-05-09,31.1,32.0,32.5,30.8,17883494
2024-05-10,32.15,31.95,32.55,31.15,15499632
2024-05-13,30.55,30.75,31.7,29.8,23797137
2024-05-14,32.0,30.85,32.75,30.7,20587739
2024-05-16,31.2,31.45,31.55,30.2,12721336
2024-05-17,32.1,31.85,32.5,30.85,20785592
2024-05-20,32.4,34.25,34.55,32.4,32768081
2024-05-21,32.7,30.65,32.75,30.65,30310491
2024-05-22,33.6,34.65,35.15,33.1,45244821
2024-05-23,33.95,32.8,34.05,32.5,22482524
2024-05-24,31.9,31.8,32.6,31.65,14363198
2024-05-27,32.15,32.55,32.7,31.05,8185812
2024-05-28,32.5,32.35,33.5,32.0,10056399
2024-05-29,33.0,32.4,33.15,32.2,9131401
2024-05-30,32.0,31.8,32.1,31.3,9277116
2024-05-31,33.4,32.35,34.1,32.3,26666733
2024-06-03,32.8,32.65,33.25,32.35,11374766
2024-06-04,32.1,32.3,32.6,31.7,7834337
2024-06-05,32.0,32.7,33.25,31.85,9819966
2024-06-06,33.4,32.75,33.5,32.35,8312610
2024-06-07,32.75,32.4,32.75,31.85,21309384
2024-06-11,31.5,31.15,31.5,30.5,20071007
2024-06-12,29.6,29.5,30.0,29.35,19525136
2024-06-13,29.7,29.05,30.15,28.9,14843806
2024-06-14,28.75,28.7,29.1,28.3,10293200
2024-06-17,28.35,28.35,28.8,27.85,7223902
2024-06-18,28.4,28.35,28.9,28.3,6686677
2024-06-19,29.1,29.85,29.85,28.9,9089367
2024-06-20,29.85,29.4,29.95,29.2,5992376
2024-06-21,29.45,29.45,29.6,29.05,10822011
2024-06-24,29.7,30.4,30.5,29.55,9645694
2024-06-25,30.65,30.5,30.95,30.1,9871339
2024-06-26,30.85,31.0,31.45,30.5,8199306
2024-06-27,31.85,30.65,31.85,30.6,11400830
2024-06-28,29.6,29.55,30.35,29.2,8563498
2024-07-02,30.1,29.85,31.0,29.55,9718623
2024-07-03,29.75,30.1,30.65,29.55,10086587
2024-07-04,32.45,31.35,32.7,31.1,19020750
2024-07-05,31.45,30.4,31.45,29.85,11322580
2024-07-08,30.5,29.65,30.7,29.0,11231294
2024-07-09,29.35,29.0,29.35,28.25,9465103
2024-07-10,29.15,29.6,29.95,28.6,7941158
